time,Forca (N),Deslocamento (mm)
68388,2.248719,0.0
68398,2.248719,0.0
68408,2.248719,0.0
68418,2.248719,0.0
68428,2.248719,0.0
68438,2.248719,0.0
68448,2.248719,0.0
68458,2.248719,0.0
68468,2.248719,0.0
68478,2.248719,0.0
68488,2.248719,0.0
68498,2.248719,0.0
68508,2.248719,0.0
68518,2.248719,0.0
68528,2.248719,0.0
68538,2.248719,0.0
68548,2.248719,0.0
68558,2.248719,0.0
68568,2.248719,0.0
68578,2.248719,0.0
68588,2.248719,0.0
68598,2.248719,0.0
68608,2.248719,0.0
68618,2.238356,0.0
68628,2.238356,0.0
68638,2.238356,0.0
68648,2.238356,0.0
68658,2.238356,0.0
68668,2.238356,0.0
68678,2.248719,0.0
68688,2.248719,0.0
68698,2.248719,0.0
68708,2.248719,0.0
68718,2.248719,0.0
68728,2.238356,0.0
68738,2.248719,0.0
68748,2.248719,0.0
68758,2.248719,0.0
68768,2.248719,0.0
68778,2.248719,0.0
68788,2.248719,0.0
68798,2.248719,0.0
68808,2.248719,0.0
68818,2.248719,0.0
68828,2.248719,0.0
68838,2.248719,0.0
68848,2.248719,0.0
68858,2.248719,0.0
68868,2.248719,0.0
68878,2.248719,0.0
68888,2.248719,0.0
68898,2.248719,0.0
68908,2.248719,0.0
68918,2.248719,0.0
68928,2.248719,0.0
68938,2.248719,0.0
68948,2.248719,0.0
68958,2.248719,0.0
68968,2.248719,0.0
68978,2.248719,0.0
68988,2.248719,0.0
68998,2.248719,0.0
69008,2.238356,0.0
69018,2.238356,0.0
69028,2.238356,0.0
69038,2.238356,0.0
69048,2.238356,0.0
69058,2.238356,0.0
69068,2.238356,0.0
69078,2.238356,0.0
69088,2.238356,0.0
69098,2.238356,0.0
69108,2.238356,0.0
69118,2.238356,0.0
69128,2.238356,0.0
69138,2.238356,0.0
69148,2.238356,0.0
69158,2.238356,0.0
69168,2.238356,0.0
69178,2.238356,0.0
69188,2.238356,0.0
69198,2.238356,0.0
69208,2.238356,0.0
69218,2.238356,0.0
69228,2.238356,0.0
69238,2.238356,0.0
69248,2.248719,0.0
69258,2.248719,0.0
69268,2.248719,0.0
69278,2.248719,0.0
69288,2.248719,0.0
69298,2.248719,0.0
69308,2.248719,0.0
69318,2.248719,0.0
69328,2.248719,0.0
69338,2.248719,0.0
69348,2.248719,0.0
69358,2.248719,0.0
69368,2.248719,0.0
69378,2.248719,0.0
69388,2.248719,0.0
69398,2.248719,0.0
69408,2.248719,0.0
69418,2.238356,0.0
69428,2.248719,0.0
69438,2.2279929999999997,0.0
69448,2.238356,0.0
69458,2.238356,0.0
69468,2.238356,0.0
69478,2.248719,0.0
69488,2.238356,0.0
69498,2.2279929999999997,0.0
69508,2.2176299999999998,0.0
69518,2.2279929999999997,0.0
69528,2.2279929999999997,0.0
69538,2.2279929999999997,0.0
69548,2.2279929999999997,0.0
69558,2.2279929999999997,0.0
69568,2.2279929999999997,0.0
69578,2.2279929999999997,0.0
69588,2.2279929999999997,0.0
69598,2.2176299999999998,0.0
69608,2.2176299999999998,0.0
69618,2.2176299999999998,0.0
69628,2.2176299999999998,0.0
69638,2.2176299999999998,0.0
69648,2.2176299999999998,0.0
69658,2.2279929999999997,0.0
69668,2.2176299999999998,0.0
69678,2.2176299999999998,0.0
69688,2.2176299999999998,0.0
69698,2.2176299999999998,0.0
